Produto;Preço;Pgto.;Nº Parcelas;Data;Cliente;E-mail;Estado;Regiao;DDD;Telefone
Produto B;R$ 1.000;Cartão de Credito;12;16-Mar-19;Pytàwà Martins;pytàwà@hotmail.com;Pará;Norte;91;980800000
Produto C;R$ 2.000;Boleto Bancário;1;16-Mar-19;Amauri Martins;amauri@gmail.com;Rio de Janeiro;Sudeste;21;983300000
Produto A;R$ 500;Boleto Bancário;1;16-Mar-19;Priscila Martins;priscila@gmail.com;São Paulo;Sudeste;11;975000000
Produto C;R$ 2.000;Boleto Bancário;1;17-Mar-19;Caique Martins;caique@hotmail.com;São Paulo;Sudeste;11;954000000
Produto A;R$ 500;Cartão de Credito;4;17-Mar-19;Cristina Martins;cristina@gmail.com;São Paulo;Sudeste;19;996200000
Produto A;R$ 500;Cartão de Credito;12;17-Mar-19;Marinete Martins;marinete@gmail.com;São Paulo;Sudeste;11;983100000
Produto A;R$ 500;Cartão de Credito;4;17-Mar-19;Jucimaria Martins;jucimaria@gmail.com;São Paulo;Sudeste;11;974400000
Produto B;R$ 1.000;Cartão de Credito;1;17-Mar-19;Philipe Martins;philipe@yahoo.com.br;Minas Gerais;Sudeste;31;983300000
Produto A;R$ 500;Cartão de Credito;3;17-Mar-19;Elbertt Martins;elbertt@outlook.com.br;Espírito Santo;Sudeste;27;997200000
Produto A;R$ 500;Cartão de Credito;12;17-Mar-19;Ciro Martins;ciro@gmail.com;São Paulo;Sudeste;18;996700000
Produto C;R$ 2.000;Cartão de Credito;12;17-Mar-19;Georgia Martins;georgia@gmail.com;São Paulo;Sudeste;11;972300000
Produto A;R$ 500;Boleto Bancário;1;18-Mar-19;Andriele Martins;andriele@gmail.com;Goiás;Centro-Oeste;62;992400000
Produto B;R$ 1.000;Cartão de Credito;12;18-Mar-19;Wanessa Martins;wanessa@gmail.com;Pará;Norte;91;989600000
Produto A;R$ 500;Cartão de Credito;2;18-Mar-19;Estainy Martins;estainy@gmail.com;São Paulo;Sudeste;11;982900000
Produto A;R$ 500;Cartão de Credito;1;18-Mar-19;Julia Martins;julia@hotmail.com;Rio de Janeiro;Sudeste;21;988600000
Produto C;R$ 2.000;Cartão de Credito;1;18-Mar-19;Wesclley Martins;wesclley@gmail.com;Ceará;Nordeste;85;986600000
Produto B;R$ 1.000;Cartão de Credito;6;18-Mar-19;Rosilane Martins;rosilane@gmail.com;Rio de Janeiro;Sudeste;21;988500000
Produto C;R$ 2.000;Cartão de Credito;1;18-Mar-19;Ricardo Martins;ricardo@hotmail.com;Goiás;Centro-Oeste;62;992200000
Produto B;R$ 1.000;Cartão de Credito;12;18-Mar-19;Alfredo Martins;alfredo@gmail.com;Goiás;Centro-Oeste;62;993600000
Produto C;R$ 2.000;Cartão de Credito;12;19-Mar-19;Herbert Martins;herbert@gmail.com;São Paulo;Sudeste;12;982900000
Produto A;R$ 500;Cartão de Credito;2;19-Mar-19;Elisângela Martins;elisangela@gmail.com;Rio de Janeiro;Sudeste;21;988300000
Produto A;R$ 500;Cartão de Credito;7;19-Mar-19;Edelson Martins;edelson@gmail.com;Pernambuco;Nordeste;81;991600000
Produto C;R$ 2.000;Cartão de Credito;3;19-Mar-19;Susane Martins;susane@gmail.com;Rio de Janeiro;Sudeste;21;994600000
Produto B;R$ 1.000;Cartão de Credito;1;19-Mar-19;Agirlene Martins;agirlene@gmail.com;Piauí;Nordeste;86;999500000
Produto B;R$ 1.000;Cartão de Credito;1;19-Mar-19;Endreo Martins;endreo@gmail.com;Paraná;Sul;41;996900000
Produto A;R$ 500;Cartão de Credito;12;20-Mar-19;Suzane Martins;suzane@hotmail.com;Pernambuco;Nordeste;81;995600000
Produto A;R$ 500;Cartão de Credito;12;20-Mar-19;Gladstone Martins;gladstone@hotmail.com;Rio de Janeiro;Sudeste;21;987600000
Produto A;R$ 500;Boleto Bancário;1;20-Mar-19;Nathallia Martins;nathallia@gmail.com;Goiás;Centro-Oeste;62;994000000
Produto C;R$ 2.000;Cartão de Credito;12;20-Mar-19;Moises Martins;moises@gmail.com;Espírito Santo;Sudeste;27;988700000
Produto B;R$ 1.000;Boleto Bancário;1;20-Mar-19;Marília Martins;marilia@gmail.com;Rio Grande do Sul;Sul;51;999900000
Produto B;R$ 1.000;Cartão de Credito;1;20-Mar-19;Alon Martins;alon@gmail.com;Rio de Janeiro;Sudeste;21;998400000
Produto A;R$ 500;Cartão de Credito;12;20-Mar-19;Boáz Martins;boaz@gmail.com;São Paulo;Sudeste;11;989800000
Produto A;R$ 500;Cartão de Credito;10;20-Mar-19;Stefanni Martins;stefanni@outlook.com;Distrito Federal;Centro-Oeste;61;985800000
Produto C;R$ 2.000;Cartão de Credito;8;20-Mar-19;Josias Martins;josias@hotmail.com;Santa Catarina;Sul;47;988400000
Produto C;R$ 2.000;Cartão de Credito;12;20-Mar-19;Heide Martins;heide@hotmail.com;Distrito Federal;Centro-Oeste;61;998500000
Produto B;R$ 1.000;Cartão de Credito;12;20-Mar-19;Helenilse Martins;helenilse@gmail.com;Acre;Norte;68;999200000
Produto A;R$ 500;Cartão de Credito;12;20-Mar-19;Gildo Martins;gildo@gmail.com;Minas Gerais;Sudeste;31;995000000
Produto C;R$ 2.000;Boleto Bancário;1;21-Mar-19;Wellington Martins;wellington@gmail.com;Santa Catarina;Sul;48;998500000
Produto C;R$ 2.000;Cartão de Credito;12;21-Mar-19;Lucicleide Martins;lucicleide@gmail.com;Rio de Janeiro;Sudeste;21;980500000
Produto B;R$ 1.000;Boleto Bancário;1;21-Mar-19;Otávio Martins;otavio@gmail.com;Rio de Janeiro;Sudeste;21;981000000
Produto B;R$ 1.000;Boleto Bancário;1;21-Mar-19;Andreya Martins;andreya@gmail.com;Maranhão;Nordeste;99;982000000
Produto C;R$ 2.000;Cartão de Credito;1;22-Mar-19;Janaina Martins;janaina@gmail.com;São Paulo;Sudeste;12;981700000
Produto B;R$ 1.000;Boleto Bancário;1;22-Mar-19;Giovani Martins;giovani@hotmail.com;Minas Gerais;Sudeste;35;991300000
Produto B;R$ 1.000;Cartão de Credito;12;22-Mar-19;Wallace Martins;wallace@outlook.com;São Paulo;Sudeste;11;977300000
Produto B;R$ 1.000;Cartão de Credito;12;22-Mar-19;Thallyta Martins;thallyta@outlook.com;São Paulo;Sudeste;11;980500000
Produto B;R$ 1.000;Cartão de Credito;12;22-Mar-19;Gesica Martins;gesica@gmail.com;Distrito Federal;Centro-Oeste;61;998000000
Produto B;R$ 1.000;Boleto Bancário;1;22-Mar-19;Elenilton Martins;elenilton@gmail.com;Espírito Santo;Sudeste;27;996200000
Produto A;R$ 500;Boleto Bancário;1;23-Mar-19;Olavo Martins;olavo@gmail.com;Pará;Norte;91;982800000
Produto C;R$ 2.000;Boleto Bancário;1;23-Mar-19;Mário Martins;mario@gmail.com;São Paulo;Sudeste;19;974100000
Produto C;R$ 2.000;Boleto Bancário;1;23-Mar-19;Osório Martins;osorio@hotmail.com;Minas Gerais;Sudeste;33;999900000
Produto A;R$ 500;Cartão de Credito;1;23-Mar-19;Milena Martins;milena@hotmail.com;São Paulo;Sudeste;11;965300000
Produto B;R$ 1.000;Cartão de Credito;1;23-Mar-19;Inara Martins;inara@gmail.com;São Paulo;Sudeste;16;996200000
Produto C;R$ 2.000;Cartão de Credito;12;23-Mar-19;Marionei Martins;marionei@gmail.com;Santa Catarina;Sul;47;999900000
Produto A;R$ 500;Cartão de Credito;4;24-Mar-19;Kaue Martins;kaue@hotmail.com;São Paulo;Sudeste;11;994300000
Produto C;R$ 2.000;Cartão de Credito;12;24-Mar-19;Arilene Martins;arilene@gmail.com;São Paulo;Sudeste;11;951300000
Produto C;R$ 2.000;Cartão de Credito;6;24-Mar-19;Valdinei Martins;valdinei@gmail.com;Rio de Janeiro;Sudeste;21;998000000
Produto B;R$ 1.000;Cartão de Credito;3;24-Mar-19;Raiany Martins;raiany@gmail.com;Minas Gerais;Sudeste;31;995100000
Produto C;R$ 2.000;Cartão de Credito;7;24-Mar-19;Markos Martins;markos@gmail.com;Ceará;Nordeste;85;985100000
Produto C;R$ 2.000;Cartão de Credito;1;24-Mar-19;Ulyssess Martins;ulyssess@gmail.com;Espírito Santo;Sudeste;27;995800000
Produto B;R$ 1.000;Cartão de Credito;4;24-Mar-19;Luiz Martins;luiz@hotmail.com;Santa Catarina;Sul;48;984000000
Produto B;R$ 1.000;Cartão de Credito;12;25-Mar-19;Cleiton Martins;cleiton@gmail.com;São Paulo;Sudeste;11;967100000
Produto B;R$ 1.000;Cartão de Credito;10;25-Mar-19;Conrado Martins;conrado@gmail.com;Espírito Santo;Sudeste;27;999900000
Produto B;R$ 1.000;Cartão de Credito;12;25-Mar-19;Douglas Martins;douglas@gmail.com;Goiás;Centro-Oeste;62;992000000
Produto B;R$ 1.000;Cartão de Credito;12;25-Mar-19;Everaldo Martins;everaldo@gmail.com;São Paulo;Sudeste;11;989900000
Produto C;R$ 2.000;Cartão de Credito;12;25-Mar-19;Hallyson Martins;hallyson@gmail.com;Rio de Janeiro;Sudeste;21;975300000
Produto A;R$ 500;Boleto Bancário;1;26-Mar-19;Hellora Martins;hellora@gmail.com;Distrito Federal;Centro-Oeste;61;996400000
Produto B;R$ 1.000;Cartão de Credito;1;26-Mar-19;Girlane Martins;girlane@gmail.com;Rio Grande do Sul;Sul;51;996100000
Produto B;R$ 1.000;Cartão de Credito;6;26-Mar-19;Jarbas Martins;jarbas@gmail.com;Goiás;Centro-Oeste;62;993400000
Produto C;R$ 2.000;Cartão de Credito;1;26-Mar-19;Cristiane Martins;cristiane@gmail.com;Santa Catarina;Sul;48;984000000
Produto A;R$ 500;Cartão de Credito;12;26-Mar-19;Edson Martins;edson@gmail.com;Distrito Federal;Centro-Oeste;61;998400000
Produto A;R$ 500;Boleto Bancário;1;26-Mar-19;Cintia Martins;cintia@gmail.com;Rio de Janeiro;Sudeste;21;980400000
Produto C;R$ 2.000;Cartão de Credito;6;26-Mar-19;Matheus Martins;matheus@hotmail.com;São Paulo;Sudeste;19;982600000
Produto C;R$ 2.000;Cartão de Credito;12;26-Mar-19;Laynie Martins;laynie@gmail.com;São Paulo;Sudeste;11;945600000
Produto B;R$ 1.000;Cartão de Credito;12;27-Mar-19;Elivelton Martins;elivelton@gmail.com;Mato Grosso do Sul;Centro-Oeste;67;992100000
Produto A;R$ 500;Cartão de Credito;1;27-Mar-19;Sabrina Martins;sabrina@gmail.com;Minas Gerais;Sudeste;31;997700000
Produto B;R$ 1.000;Cartão de Credito;12;27-Mar-19;Raul Martins;raul@gmail.com;Paraná;Sul;44;991100000
Produto B;R$ 1.000;Cartão de Credito;1;27-Mar-19;Kayc Martins;kayc@hotmail.com;Minas Gerais;Sudeste;38;999900000
Produto A;R$ 500;Cartão de Credito;10;28-Mar-19;Maiza Martins;maiza@gmail.com;Amazonas;Norte;92;992100000
Produto A;R$ 500;Cartão de Credito;1;28-Mar-19;Esmael Martins;esmael@yahoo.com.br;Rio Grande do Sul;Sul;51;981300000
Produto A;R$ 500;Cartão de Credito;12;28-Mar-19;Eric Martins;eric@gmail.com;Rio de Janeiro;Sudeste;21;993300000
Produto A;R$ 500;Cartão de Credito;12;28-Mar-19;Giselle Martins;giselle@yahoo.com.br;São Paulo;Sudeste;15;991100000
Produto A;R$ 500;Cartão de Credito;12;28-Mar-19;Rihan Martins;rihan@hotmail.com;Espírito Santo;Sudeste;27;996000000
Produto B;R$ 1.000;Cartão de Credito;2;28-Mar-19;Ketlyn Martins;ketlyn@hotmail.com;São Paulo;Sudeste;11;966000000
Produto B;R$ 1.000;Cartão de Credito;1;29-Mar-19;Yen Martins;yen@gmail.com;Minas Gerais;Sudeste;31;994300000
Produto C;R$ 2.000;Cartão de Credito;1;29-Mar-19;Natascha Martins;natascha@hotmail.com;Minas Gerais;Sudeste;31;988800000
Produto B;R$ 1.000;Cartão de Credito;1;29-Mar-19;Virgílio Martins;virgilio@yahoo.com.br;Minas Gerais;Sudeste;31;994100000
Produto A;R$ 500;Cartão de Credito;8;29-Mar-19;Dayane Martins;dayane@gmail.com;Minas Gerais;Sudeste;31;986600000
Produto C;R$ 2.000;Cartão de Credito;12;29-Mar-19;Marylucy Martins;marylucy@hotmail.com;Rio de Janeiro;Sudeste;24;988400000
Produto B;R$ 1.000;Cartão de Credito;4;29-Mar-19;Mauricio Martins;mauricio@gmail.com;Rio Grande do Sul;Sul;55;999200000
Produto A;R$ 500;Cartão de Credito;1;29-Mar-19;Herika Martins;herika@gmail.com;Distrito Federal;Centro-Oeste;61;982000000
Produto C;R$ 2.000;Boleto Bancário;1;29-Mar-19;Lion Martins;lion@gmail.com;São Paulo;Sudeste;11;995500000
Produto A;R$ 500;Cartão de Credito;4;29-Mar-19;Luanna Martins;luanna@hotmail.com;Rio de Janeiro;Sudeste;21;998300000
Produto B;R$ 1.000;Cartão de Credito;10;30-Mar-19;Lilian Martins;lilian@gmail.com;Minas Gerais;Sudeste;31;992200000
Produto A;R$ 500;Boleto Bancário;1;30-Mar-19;Vítor Martins;vitor@hotmail.com;Minas Gerais;Sudeste;34;991800000
Produto B;R$ 1.000;Cartão de Credito;2;30-Mar-19;Luã Martins;lua@gmail.com;Rio de Janeiro;Sudeste;21;996900000
Produto A;R$ 500;Boleto Bancário;1;30-Mar-19;Jennifer Martins;jennifer@gmail.com;Pernambuco;Nordeste;81;994000000
Produto A;R$ 500;Cartão de Credito;12;30-Mar-19;Joelmir Martins;joelmir@gmail.com;Rio Grande do Sul;Sul;54;999800000
Produto C;R$ 2.000;Cartão de Credito;4;30-Mar-19;Glauciney Martins;glauciney@hotmail.com;Amapá;Norte;96;991400000
Produto C;R$ 2.000;Cartão de Credito;6;30-Mar-19;Idebral Martins;idebral@gmail.com;Minas Gerais;Sudeste;34;997600000
Produto B;R$ 1.000;Cartão de Credito;4;30-Mar-19;Carine Martins;carine@gmail.com;Paraíba;Nordeste;83;996000000
Produto B;R$ 1.000;Cartão de Credito;12;31-Mar-19;Isrrael Martins;isrrael@gmail.com;Goiás;Centro-Oeste;64;981300000
Produto A;R$ 500;Cartão de Credito;6;31-Mar-19;Percio Martins;percio@outlook.com;Goiás;Centro-Oeste;62;982800000
Produto C;R$ 2.000;Cartão de Credito;12;31-Mar-19;Erilaine Martins;erilaine@yahoo.com.br;São Paulo;Sudeste;12;991300000
Produto A;R$ 500;Cartão de Credito;3;31-Mar-19;Russel Martins;russel@gmail.com;Sergipe;Nordeste;79;998400000
Produto C;R$ 2.000;Cartão de Credito;6;31-Mar-19;Eveline Martins;eveline@gmail.com;Mato Grosso do Sul;Centro-Oeste;67;981600000
Produto C;R$ 2.000;Cartão de Credito;1;31-Mar-19;Hilo Martins;hilo@gmail.com;Rio Grande do Sul;Sul;55;999700000
Produto A;R$ 500;Cartão de Credito;1;31-Mar-19;Larah Martins;larah@gmail.com;Rio de Janeiro;Sudeste;24;981300000
Produto A;R$ 500;Cartão de Credito;12;31-Mar-19;Ricardo Martins;ricardo@gmail.com;São Paulo;Sudeste;11;983600000
Produto C;R$ 2.000;Cartão de Credito;12;31-Mar-19;Kellvis Martins;kellvis@hotmail.com;Minas Gerais;Sudeste;31;991100000
Produto A;R$ 500;Cartão de Credito;12;31-Mar-19;Dayse Martins;dayse@yahoo.com.br;Pernambuco;Nordeste;81;998900000
Produto C;R$ 2.000;Cartão de Credito;1;1-Apr-19;Cibele Martins;cibele@hotmail.com;São Paulo;Sudeste;19;983300000
Produto A;R$ 500;Cartão de Credito;6;1-Apr-19;Isabella Martins;isabella@gmail.com;São Paulo;Sudeste;11;948300000
Produto A;R$ 500;Cartão de Credito;12;1-Apr-19;Elvira Martins;elvira@gmail.com;Paraná;Sul;42;991000000
Produto B;R$ 1.000;Boleto Bancário;1;1-Apr-19;Associação Martins;associaçao@gmail.com;Minas Gerais;Sudeste;32;999400000
Produto B;R$ 1.000;Cartão de Credito;1;1-Apr-19;Elcimar Martins;elcimar@gmail.com;Distrito Federal;Centro-Oeste;61;982400000
Produto C;R$ 2.000;Cartão de Credito;12;1-Apr-19;Marciane Martins;marciane@yahoo.com.br;Paraná;Sul;41;996700000
Produto A;R$ 500;Cartão de Credito;10;1-Apr-19;Weslley Martins;weslley@gmail.com;São Paulo;Sudeste;11;987900000
Produto B;R$ 1.000;Cartão de Credito;12;1-Apr-19;Denisson Martins;denisson@gmail.com;Rondônia;Norte;69;999400000
Produto A;R$ 500;Cartão de Credito;9;2-Apr-19;Luma Martins;luma@hotmail.com;São Paulo;Sudeste;11;972500000
Produto B;R$ 1.000;Cartão de Credito;4;2-Apr-19;Madson Martins;madson@gmail.com;Paraná;Sul;42;998000000
Produto C;R$ 2.000;Cartão de Credito;2;2-Apr-19;Breno Martins;breno@gmail.com;Rio de Janeiro;Sudeste;21;964100000
Produto C;R$ 2.000;Cartão de Credito;1;2-Apr-19;Ronildo Martins;ronildo@gmail.com;São Paulo;Sudeste;11;994700000
Produto A;R$ 500;Cartão de Credito;1;2-Apr-19;Adebertione Martins;adebertione@gmail.com;Rio de Janeiro;Sudeste;21;997200000
Produto A;R$ 500;Cartão de Credito;5;2-Apr-19;Jouse Martins;jouse@gmail.com;Minas Gerais;Sudeste;31;992000000
Produto A;R$ 500;Boleto Bancário;1;2-Apr-19;Tainan Martins;tainan@gmail.com;Rio de Janeiro;Sudeste;21;974900000
Produto A;R$ 500;Cartão de Credito;12;2-Apr-19;Isaac Martins;isaac@gmail.com;São Paulo;Sudeste;11;993300000
Produto B;R$ 1.000;Cartão de Credito;11;3-Apr-19;Gleyson Martins;gleyson@gmail.com;Pará;Norte;91;980800000
Produto B;R$ 1.000;Cartão de Credito;12;3-Apr-19;Tiago Martins;tiago@gmail.com;Espírito Santo;Sudeste;27;998400000
Produto A;R$ 500;Cartão de Credito;1;3-Apr-19;Telma Martins;telma@yahoo.com.br;Mato Grosso;Centro-Oeste;65;999700000
Produto C;R$ 2.000;Cartão de Credito;12;3-Apr-19;Alynne Martins;alynne@gmail.com;São Paulo;Sudeste;11;979500000
Produto B;R$ 1.000;Boleto Bancário;1;3-Apr-19;Erica Martins;erica@gmail.com;Goiás;Centro-Oeste;62;996900000
Produto C;R$ 2.000;Cartão de Credito;10;4-Apr-19;Roberio Martins;roberio@gmail.com;Distrito Federal;Centro-Oeste;61;981900000
Produto A;R$ 500;Cartão de Credito;12;4-Apr-19;Rodney Martins;rodney@gmail.com;Minas Gerais;Sudeste;31;997600000
Produto A;R$ 500;Cartão de Credito;12;5-Apr-19;Raiane Martins;raiane@outlook.com;São Paulo;Sudeste;16;997700000
Produto A;R$ 500;Cartão de Credito;12;5-Apr-19;Hallan Martins;hallan@hotmail.com;São Paulo;Sudeste;18;997300000
Produto A;R$ 500;Cartão de Credito;12;5-Apr-19;Letícia Martins;leticia@gmail.com;Minas Gerais;Sudeste;34;991100000
Produto C;R$ 2.000;Cartão de Credito;2;5-Apr-19;Mirya Martins;mirya@hotmail.com;São Paulo;Sudeste;14;996800000
Produto B;R$ 1.000;Cartão de Credito;2;5-Apr-19;Hemerson Martins;hemerson@gmail.com;Minas Gerais;Sudeste;31;995600000
Produto A;R$ 500;Cartão de Credito;12;5-Apr-19;Rosiane Martins;rosiane@gmail.com;São Paulo;Sudeste;11;981300000
Produto C;R$ 2.000;Cartão de Credito;5;5-Apr-19;Helenilse Martins;helenilse@gmail.com;Acre;Norte;68;999200000
Produto A;R$ 500;Cartão de Credito;6;6-Apr-19;Lamartine Martins;lamartine@gmail.com;São Paulo;Sudeste;11;997100000
Produto C;R$ 2.000;Cartão de Credito;12;6-Apr-19;Danniela Martins;danniela@hotmail.com;Pernambuco;Nordeste;81;984000000
Produto A;R$ 500;Cartão de Credito;4;6-Apr-19;Meire Martins;meire@gmail.com;Rio de Janeiro;Sudeste;21;991400000
Produto A;R$ 500;Cartão de Credito;10;6-Apr-19;Romoaldo Martins;romoaldo@gmail.com;Paraná;Sul;41;988100000
Produto C;R$ 2.000;Cartão de Credito;12;6-Apr-19;Natalia Martins;natalia@gmail.com;São Paulo;Sudeste;11;949000000
Produto B;R$ 1.000;Cartão de Credito;12;7-Apr-19;Saionara Martins;saionara@yahoo.com.br;Minas Gerais;Sudeste;37;999000000
Produto A;R$ 500;Boleto Bancário;1;7-Apr-19;Gabriele Martins;gabriele@hotmail.com;Minas Gerais;Sudeste;38;998100000
Produto C;R$ 2.000;Cartão de Credito;1;7-Apr-19;Lucia Martins;lucia@gmail.com;Rio de Janeiro;Sudeste;21;980500000
Produto C;R$ 2.000;Cartão de Credito;4;7-Apr-19;Túlio Martins;túlio@outlook.com;Piauí;Nordeste;86;953400000
Produto B;R$ 1.000;Cartão de Credito;2;8-Apr-19;Janice Martins;janice@gmail.com;Paraná;Sul;41;996800000
Produto B;R$ 1.000;Cartão de Credito;12;8-Apr-19;Heleno Martins;heleno@uol.com.br;Rio de Janeiro;Sudeste;22;999100000
Produto A;R$ 500;Cartão de Credito;1;8-Apr-19;Nelson Martins;nelson@gmail.com;São Paulo;Sudeste;11;983100000
Produto C;R$ 2.000;Cartão de Credito;12;8-Apr-19;Adethson Martins;adethson@hotmail.com;Pernambuco;Nordeste;81;991700000
Produto B;R$ 1.000;Boleto Bancário;1;8-Apr-19;Jussara Martins;jussara@gmail.com;Minas Gerais;Sudeste;31;991000000
Produto A;R$ 500;Boleto Bancário;1;8-Apr-19;Wyldlanne Martins;wyldlanne@gmail.com;Ceará;Nordeste;85;985300000
Produto C;R$ 2.000;Cartão de Credito;1;8-Apr-19;Alfred Martins;alfred@hotmail.com;São Paulo;Sudeste;11;979500000
Produto B;R$ 1.000;Cartão de Credito;1;9-Apr-19;Laisa Martins;laisa@gmail.com;Santa Catarina;Sul;49;991200000
Produto A;R$ 500;Cartão de Credito;4;9-Apr-19;Marcela Martins;marcela@gmail.com;Ceará;Nordeste;85;991800000
Produto A;R$ 500;Cartão de Credito;12;9-Apr-19;Josimar Martins;josimar@gmail.com;Espírito Santo;Sudeste;27;997000000
Produto C;R$ 2.000;Cartão de Credito;4;10-Apr-19;Andreza Martins;andreza@hotmail.com;Minas Gerais;Sudeste;31;993000000
Produto C;R$ 2.000;Cartão de Credito;2;10-Apr-19;Emanuel Martins;emanuel@gmail.com;Paraná;Sul;43;991100000
Produto B;R$ 1.000;Cartão de Credito;8;10-Apr-19;Talitha Martins;talitha@gmail.com;Rio de Janeiro;Sudeste;21;971800000
Produto A;R$ 500;Cartão de Credito;12;11-Apr-19;Dayvison Martins;dayvison@gmail.com;São Paulo;Sudeste;18;997700000
Produto C;R$ 2.000;Cartão de Credito;2;11-Apr-19;Fagner Martins;fagner@hotmail.com;Distrito Federal;Centro-Oeste;61;993300000
Produto A;R$ 500;Boleto Bancário;1;11-Apr-19;Valmir Martins;valmir@gmail.com;Rio de Janeiro;Sudeste;21;995100000
Produto B;R$ 1.000;Cartão de Credito;10;11-Apr-19;Normando Martins;normando@gmail.com;Pernambuco;Nordeste;81;981800000
Produto A;R$ 500;Cartão de Credito;1;11-Apr-19;Agustin Martins;agustin@gmail.com;São Paulo;Sudeste;11;994500000
Produto B;R$ 1.000;Cartão de Credito;6;11-Apr-19;Laercio Martins;laercio@gmail.com;São Paulo;Sudeste;11;980900000
Produto A;R$ 500;Cartão de Credito;12;11-Apr-19;Rizia Martins;rizia@hotmail.com;Minas Gerais;Sudeste;35;997200000
Produto C;R$ 2.000;Cartão de Credito;12;11-Apr-19;Elzo Martins;elzo@gmail.com;Minas Gerais;Sudeste;31;991600000
Produto A;R$ 500;Cartão de Credito;4;11-Apr-19;Higor Martins;higor@gmail.com;Goiás;Centro-Oeste;62;996600000
Produto A;R$ 500;Cartão de Credito;10;11-Apr-19;Tacito Martins;tacito@hotmail.com;Bahia;Nordeste;71;996500000
Produto B;R$ 1.000;Boleto Bancário;1;12-Apr-19;Alisson Martins;alisson@gmail.com;Minas Gerais;Sudeste;35;998000000
Produto A;R$ 500;Boleto Bancário;1;12-Apr-19;Gilmar Martins;gilmar@gmail.com;Maranhão;Nordeste;98;991500000
Produto A;R$ 500;Cartão de Credito;12;12-Apr-19;Lívia Martins;livia@gmail.com;Rio de Janeiro;Sudeste;24;998600000
Produto B;R$ 1.000;Cartão de Credito;12;12-Apr-19;Henry Martins;henry@gmail.com;Minas Gerais;Sudeste;35;999500000
Produto A;R$ 500;Cartão de Credito;5;12-Apr-19;Allan Martins;allan@hotmail.com;São Paulo;Sudeste;11;954800000
Produto B;R$ 1.000;Cartão de Credito;4;12-Apr-19;Herica Martins;herica@gmail.com;Pernambuco;Nordeste;81;986400000
Produto A;R$ 500;Cartão de Credito;3;12-Apr-19;Jonilson Martins;jonilson@hotmail.com;Mato Grosso;Centro-Oeste;65;992300000
Produto A;R$ 500;Cartão de Credito;1;12-Apr-19;Iuri Martins;iuri@hotmail.com;Ceará;Nordeste;85;999500000
Produto C;R$ 2.000;Cartão de Credito;12;12-Apr-19;Lenon Martins;lenon@hotmail.com;São Paulo;Sudeste;11;998900000
Produto B;R$ 1.000;Cartão de Credito;12;13-Apr-19;Alessandra Martins;alessandra@gmail.com;Rio de Janeiro;Sudeste;21;996300000
Produto A;R$ 500;Cartão de Credito;10;13-Apr-19;Sayne Martins;sayne@gmail.com;Tocantins;Norte;63;981100000
Produto A;R$ 500;Cartão de Credito;6;13-Apr-19;Hanna Martins;hanna@gmail.com;Rio de Janeiro;Sudeste;21;998100000
Produto A;R$ 500;Boleto Bancário;1;13-Apr-19;Sergius Martins;sergius@gmail.com;Rio de Janeiro;Sudeste;22;988100000
Produto C;R$ 2.000;Boleto Bancário;1;13-Apr-19;Alcirene Martins;alcirene@gmail.com;Maranhão;Nordeste;98;981600000
Produto B;R$ 1.000;Cartão de Credito;6;13-Apr-19;Arilson Martins;arilson@gmail.com;Amazonas;Norte;92;992500000
Produto A;R$ 500;Cartão de Credito;12;13-Apr-19;Hideike Martins;hideike@hotmail.com;São Paulo;Sudeste;11;954700000
Produto B;R$ 1.000;Boleto Bancário;1;13-Apr-19;Rayana Martins;rayana@gmail.com;São Paulo;Sudeste;19;996800000
Produto B;R$ 1.000;Cartão de Credito;1;13-Apr-19;Fabrício Martins;fabricio@gmail.com;Bahia;Nordeste;71;988900000
Produto B;R$ 1.000;Cartão de Credito;12;13-Apr-19;William Martins;william@hotmail.com;Paraíba;Nordeste;83;993300000
Produto A;R$ 500;Cartão de Credito;12;15-Apr-19;Tamires Martins;tamires@hotmail.com;São Paulo;Sudeste;11;967100000
Produto B;R$ 1.000;Cartão de Credito;12;15-Apr-19;Adalberto Martins;adalberto@hotmail.com;Piauí;Nordeste;86;994600000
Produto C;R$ 2.000;Boleto Bancário;1;15-Apr-19;Ellem Martins;ellem@gmail.com;São Paulo;Sudeste;11;957500000
Produto A;R$ 500;Boleto Bancário;1;15-Apr-19;Yuri Martins;yuri@yahoo.com.br;Ceará;Nordeste;85;992500000
Produto C;R$ 2.000;Cartão de Credito;12;15-Apr-19;Rayla Martins;rayla@hotmail.com;Rio de Janeiro;Sudeste;21;995700000
Produto A;R$ 500;Boleto Bancário;1;15-Apr-19;Kim Martins;kim@gmail.com;Pará;Norte;91;983600000
Produto B;R$ 1.000;Cartão de Credito;1;16-Apr-19;Denis Martins;denis@hotmail.com;São Paulo;Sudeste;11;963700000
Produto C;R$ 2.000;Cartão de Credito;10;16-Apr-19;Paulo Martins;paulo@gmail.com;São Paulo;Sudeste;19;997100000
Produto B;R$ 1.000;Cartão de Credito;12;16-Apr-19;Keverson Martins;keverson@gmail.com;Paraíba;Nordeste;83;986200000
Produto A;R$ 500;Cartão de Credito;12;16-Apr-19;Ádamo Martins;adamo@gmail.com;Rio de Janeiro;Sudeste;21;975900000
Produto B;R$ 1.000;Cartão de Credito;1;16-Apr-19;Aroldo Martins;aroldo@gmail.com;Espírito Santo;Sudeste;27;999300000
